title,genre,director,actor,score,year
tm155787,"['drama', 'crime']",['Martin Scorsese'],"['Ray Liotta', 'Robert De Niro', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese', 'Suzanne Shepherd', 'Debi Mazar', 'Margo Winkler', 'Welker White', 'Jerry Vale', 'Julie Garfield', 'Christopher Serrone', 'Elaine Kagan', 'Beau Starr', 'Kevin Corrigan', 'Michael Imperioli', 'Robbie Vinton', 'Johnny Williams', 'Daniel P. Conte', 'Tony Conforti', 'Frank Pellegrino', 'Ronald Maccone', 'Tony Sirico', ""Joseph D'Onofrio"", 'Steve Forleo', 'Richard Dioguardi', 'Frank Adonis', 'John Manca', 'Joseph Bono', 'Katherine Wallach', 'Mark Evan Jacobs', 'Angela Pietropinto', 'Marianne Leone Cooper', 'Marie Michaels', 'LoNardo', 'Melissa Prophet', 'Illeana Douglas', 'Susan Varon', 'Elizabeth Whitcraft', 'Clem Caserta', 'Samuel L. Jackson', 'Fran McGee', 'Paul Herman', 'Edward McDonald', 'Edward Hayes', 'Gina Mattia', 'Joel Calendrillo', 'Anthony Valentin', 'Edward D. Murphy', 'Michael Citriniti', 'Peter Hock', 'Erasmus C. Alfano', 'John Di Benedetto', 'Manny Alfaro', 'Thomas Lowry', 'Margaret Smith', 'Richard Mullally', 'Frank Albanese', 'Paul McIsaac', 'Bob Golub', 'Louis Eppolito', 'Tony Lip', 'Mikey Black', 'Peter Cicale', 'Anthony Powers', 'Vincent Pastore', 'Anthony Alessandro', 'Victor Colicchio', 'Mike Contessa', 'Philip Suriano', 'Paul Mougey', 'Norman Barbera', 'Anthony Polemeni', 'James Quattrochi', 'Lawrence Sacco', 'Dino Laudicina', 'Irving Welzer', 'Jesse Kirtzman', 'Russell Halley', 'Spencer Bradley', 'Bob Altman', 'Joanna Bennett', 'Gayle Lewis', 'Gaetano Lisi', 'Luke Walter', 'Ed Deacy', 'Larry Silvestri', ""John 'Cha Cha' Ciarcia"", 'Vito Picone', 'Janis Corsair', 'Lisa D’Apolito', 'Frank Aquilino', 'Vito Antuofermo', 'Vincent Gallo', 'Gaetano LoGiudice', 'Garry Pastore', 'Nicole Burdette', 'Stella Keitel', 'Dominique DeVito', 'Michaelangelo Graziano', 'Paula Kcira', 'Nadine Kay', 'Tony Ellis', 'Peter Onorati', 'Jamie deRoy', 'Joel Blake', 'H. Clay Dear', 'Thomas Hewson', 'Gene Canfield', 'Margaux Guerard', 'Violet Gaynor', 'Tobin Bell', 'Berlinda Tolbert', 'Nancy Cassaro', 'Adam Wandt', 'Joe Gioco', 'Isiah Whitlock Jr.', 'Alyson Jones', 'Ruby Gaynor', 'Bo Dietl', 'Frank Cassini', 'Anthony Caso', 'Lisa Bostnar', 'Billy L. Sullivan', 'Daniela Barbosa']",8.581499999999998,1990
tm22327,"['war', 'drama']",['Stanley Kubrick'],"['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio"", 'R. Lee Ermey', 'Dorian Harewood', 'Arliss Howard', 'Kevyn Major Howard', ""Ed O'Ross"", 'John Terry', 'Bruce Boa', 'Kieron Jecchinis', 'Jon Stafford', 'Tim Colceri', 'Peter Edmund', 'Kirk Taylor', 'Ian Tyler', 'Gary Landon Mills', 'Sal Lopez', 'Papillon Soo', 'Ngoc Le', 'Tan Hung Francione', ""Marcus D'Amico"", 'Costas Dino Chimona', 'Keith Hodiak', 'Peter Merrill', 'Herbert Norville', 'Gil Kopel', 'Philip Bailey', 'Robert E. Hartenberger', 'Steve Hudson', 'John Curtis', 'Chris Maybach', 'Gary Smith', 'Michael Anthony Williams', 'John Wilson', 'Tony Carey', 'Vivian Kubrick', 'Stanley Kubrick', 'David Palffy', 'John Ward', 'David George']",8.2,1987
tm180542,"['crime', 'drama', 'european']",['Sergio Leone'],"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Joe Pesci', 'Tuesday Weld', 'Burt Young', 'Treat Williams', 'Danny Aiello', 'Richard Bright', 'James Hayden', 'William Forsythe', 'Darlanne Fluegel', 'Larry Rapp', 'Olga Karlatos', 'Frank Gio', 'Jennifer Connelly', 'Scott Schutzman Tiler', 'Rusty Jacobs', 'Brian Bloom', 'Mike Monetti', 'Adrian Curran', 'Julie Cohen', 'Noah Moazezi', 'James Russo', 'Clem Caserta', 'Frank Sisto', 'Jerry Strivelli', 'Mike Gendel', 'Sandra Solberg', 'Margherita Pace', 'Paul Herman', 'Bruno Iannone', 'Bruno Bilotta', 'Ray Dittrich', 'Richard Foronjy', 'Mario Brega', 'Angelo Florio', 'Marcia Jean Kurtz', 'Gerard Murphy', 'Dutch Miller', 'Robert Harper', 'Amy Ryder', 'Karen Shallo', 'Frankie Caserta', 'Joey Marzella', 'Marvin Scott', 'Ann Neville', 'Joey Faye', 'Linda Ipanema', 'Tandy Cronyn', 'Richard Zobel', 'Baxter Harris', 'Arnon Milchan', 'Marty Licata', 'Estelle Harris', 'Gerritt Debeer', 'Alexander Godfrey', 'Cliff Cudney', 'Paul Farentino', 'Bruce Bahrenburg', 'Mort Freeman', 'Massimo Liti', 'Jay Zeely', 'Salvatore Billa', 'Greg Anthony', 'Scott Coffey', 'Matteo Cafiso', 'Nunzio Giuliani', 'Nelson Camp', 'Dario Iori', 'Ole Jorgensen', 'Francesca Leone', 'Chuck Low', 'Ron Nummi', 'Ryan Paris', 'Nicola Roberto', 'Gianni Sanjust', 'Alex Serra', 'Susan Spafford', 'Mark Frazer', 'Maria Pia Monicelli', 'Louise Fletcher', 'Claudio Mancini']",8.3765,1984
tm138875,"['comedy', 'romance', 'drama']",['Rob Reiner'],"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby', 'Steven Ford', 'Lisa Jane Persky', 'Michelle Nicastro', 'Gretchen Palmer', 'Robert Alan Beuth', 'David Burdick', 'Joe Viviani', 'Harley Jane Kozak', 'Joseph Hunt', 'Kevin Rooney', 'Franc Luz', 'Tracy Reiner', 'Kyle T. Heffner', 'Kimberley LaMarque', 'Stacey Katzin', 'Estelle Reiner', 'John Arceri', 'Connie Sawyer', 'Kuno Sponholz', 'Katherine Squire', 'Frances Chaney', 'Bernie Hern', 'Rose Wright', 'Aldo Rossi', 'Dona Hardy', 'Peter Pan', 'Jane Chung', 'Bob Ader', 'Jeff Dlugolecki', 'Nicholas Glaeser', 'Randy James', 'Stanley Moore', 'Larry Sherman', 'Marilyn Spanier', 'John Speredakos', 'Terry Vaughan', 'Anthony Welch']",7.550000000000001,1989
tm2386,['horror'],['Wes Craven'],"['Heather Langenkamp', 'Robert Englund', 'John Saxon', 'Ronee Blakley', 'Amanda Wyss', 'Jsu Garcia', 'Johnny Depp', 'Charles Fleischer', 'Joseph Whipp', 'Lin Shaye', 'Joe Unger', 'Mimi Craven', 'Jack Shea', 'Ed Call', 'Sandy Lipton', 'David Andrews', 'Jeff Levine', 'Donna Woodrum', 'Shashawnee Hall', 'Carol Pritikin', 'Brian Reise', 'Ash Adams', 'Don Hannah', 'Leslie Hoffman', 'Paul Grenier', 'Kathi Gibbs', 'Chris Tashima', 'Antonia Yannouli', 'John Richard Petersen', 'Robert Shaye']",7.35,1984
tm133087,"['comedy', 'drama', 'romance']",['Herbert Ross'],"['Sally Field', 'Dolly Parton', 'Shirley MacLaine', 'Daryl Hannah', 'Olympia Dukakis', 'Julia Roberts', 'Tom Skerritt', 'Sam Shepard', 'Dylan McDermott', ""Kevin J. O'Connor"", 'Bill McCutcheon', 'Ann Wedgeworth', 'Knowl Johnson', 'Jonathan Ward', 'Bibi Besch', 'Janine Turner', 'James Wlcek', 'Ronald Young', 'Nancy Parsons', 'Robert Ginnaven', 'Tom Hodges', 'Rick Hurst', 'Robert Harling', 'Clara Gabrielle', 'Daniel Camp', 'Lori Tate', 'Robert Adams', 'Carol Sutton', 'Aja Sansone', 'Rodney Alan Fulton', 'Spencer Henderson', 'Sandra Asbury-Johnson', 'Gale J. Odom', 'Betsy Widhalm', 'Oscar J. Bienvenu Jr.', 'Teresa Beaudion', 'Gladys Mallard', 'Betty J. Dove', 'Travis Harrison', 'James Shapkoff III', 'Walker May', 'Robert R. Morgan', 'Roger D. McCann', 'Debbie McCann', 'Trent Dawson']",7.25,1989
tm177480,"['crime', 'comedy']",['Hugh Wilson'],"['Steve Guttenberg', 'Kim Cattrall', 'G.W. Bailey', 'Bubba Smith', 'Donovan Scott', 'George Gaynes', 'Andrew Rubin', 'David Graf', 'Leslie Easterbrook', 'Michael Winslow', 'Debralee Scott', 'Bruce Mahler', 'Ted Ross', 'Scott Thomson', 'Brant von Hoffman', 'Marion Ramsey', 'Roger Dunn', 'Joyce Gordon', 'Georgina Spelvin', 'Hugh Wilson', 'T.J. Scott', 'John Sampson', 'Dar Robinson', 'Kay Hawtrey', 'John Hawkes', 'Charles W. Gray', 'Suzanne Barker', 'Dwayne McLean', 'Danny Lima', 'Danny Pawlick', 'Bob Collins', 'Gene Mack', 'Gino Marrocco', 'David Clement', 'J. Winston Carroll', 'Wally Bondarenko', 'F. Braun McAsh', 'Marco Bianco', 'Fred Brigham', 'James Bearden', 'Gary Farmer', 'Barry Greene', 'Araby Lockhart', 'Beth Amos', 'Bruce McFee', 'Michael J. Reynolds', 'Don Lake', 'George R. Robertson', 'Doug Lennox', 'Wink Roberts']",6.65,1984
tm54450,"['horror', 'thriller', 'european']",['John Carpenter'],"['Keith Gordon', 'John Stockwell', 'Alexandra Paul', 'Robert Prosky', 'Harry Dean Stanton', 'Christine Belford', 'Roberts Blossom', 'William Ostrander', 'David Spielberg', 'Malcolm Danare', 'Steven Tash', 'Stuart Charno', 'Kelly Preston', 'Marc Poppel', 'Robert Darnell', 'Douglas Warhit', 'Richard Collier', 'Bruce French', 'Keri Montgomery', 'Jan Burrell', 'Charles Steak', 'Art Evans', 'John Richard Petersen']",6.75,1983
tm145608,"['drama', 'european']",['Penny Marshall'],"['Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Ruth Nelson', 'Max von Sydow', 'Anne Meara', 'Dexter Gordon', 'George Martin', 'Alice Drummond', 'Richard Libertini', 'Laura Esterman', 'Barton Heyman', 'Judith Malina', 'Mary Alice', 'Keith Diamond', 'Bradley Whitford', 'John Christopher Jones', 'Mary Catherine Wright', 'Jayne Haynes', 'Le Clanché du Rand', 'Yusef Bulos', 'Steven Randazzo', 'Gloria Harper', 'Gwyllum Evans', 'Steve Vinovich', 'Tiger Haynes', 'Harvey Miller', 'Tanya Berezin', 'Peter Stormare', 'Shane Fistell', 'Waheedah Ahmad', 'Charles Keating', 'Christina Huertes', 'Linda Burns', 'Judy Jacksina', 'Gary Tacon', 'Rico Elias', 'Mel Gorham', 'Chris Carolan', 'Debra Kovner-Zaks', 'Vin Diesel', 'Max Rabinowitz', 'Byron Utley', 'Anthony McGowen', 'Paul Montgomery', 'Leonard Tepper', 'Vincent Pastore', 'Howard Feller', 'Libby Titus', 'Michael Hyde', 'Tomislav Novakovic', 'Adam Bryant', 'Anthony J. Nici', 'Oliver Block', 'Buck Smith', 'Joan E. MacIntosh', 'Harry L. Seddon', 'Jack Mulcahy']",7.8,1990
tm147710,"['comedy', 'european']",['Jeremiah S. Chechik'],"['Chevy Chase', ""Beverly D'Angelo"", 'Juliette Lewis', 'Johnny Galecki', 'John Randolph', 'Diane Ladd', 'E.G. Marshall', 'Doris Roberts', 'Randy Quaid', 'Miriam Flynn', 'Cody Burger', 'Ellen Hamilton Latzen', 'William Hickey', 'Mae Questel', 'Sam McMurray', 'Nicholas Guest', 'Julia Louis-Dreyfus', 'Nicolette Scorsese', 'Keith MacKechnie', 'Brian Doyle-Murray', 'Natalija Nogulich', 'Tony Epper', 'Billy Hank Hooker', 'Alexander Folk', 'Jeremy Roberts', 'Woody Weaver', 'Michael Kaufman', 'Devin Bailey', 'Frank Foti Jr.', 'Traci Kochendorfer']",7.35,1989
